Date,Open,High,Low,Close,Adj Close,Volume
12/14/15,32.130001,33.849998,31.25,31.290001,28.296362,77673300
12/21/15,31.620001,32.73,31.190001,32.48,29.372513,31993800
12/28/15,32.360001,32.700001,31.77,31.809999,28.766611,25020000
1/4/16,30.700001,31.700001,28.299999,28.379999,25.664774,72090900
1/11/16,28.450001,28.879999,25.51,25.969999,23.485348,118455200
1/18/16,26.83,27.129999,24.67,25.610001,23.159792,99357800
1/25/16,25.459999,26.16,24.940001,25.879999,23.403957,88085900
2/1/16,25.780001,25.93,23.290001,24.35,22.150686,88241200
2/8/16,23.76,23.84,21.16,23.09,21.004494,123427500
2/15/16,24.07,24.67,23.209999,24,21.832302,70299400
2/22/16,24.4,25.67,22.68,25.16,22.887529,84008800
2/29/16,25.01,26.5,24.67,26.129999,23.769918,71762600
3/7/16,25.84,26.33,24.440001,26,23.651661,99667300
3/14/16,25.83,26.549999,24.58,26.280001,23.906372,96095800
3/21/16,26.17,26.610001,24.290001,24.93,22.678301,49886400
3/28/16,24.98,25.68,24.120001,25.530001,23.224113,65946600
4/4/16,25.49,25.51,23.51,23.75,21.604881,66396300
4/11/16,23.9,26.370001,23.870001,25.76,23.433338,78884700
4/18/16,26.18,27.879999,25.530001,27.700001,25.198112,113111300
4/25/16,27.530001,27.83,26.860001,27.059999,24.615917,64584300
5/2/16,27.1,27.52,25.9,26.25,24.009804,70759900
5/9/16,26.24,26.99,25.889999,25.889999,23.680527,54741400
5/16/16,25.860001,27.35,25.85,26.77,24.485428,70488000
5/23/16,26.719999,28.290001,26.6,27.530001,25.180573,63032100
5/30/16,27.639999,27.870001,26.01,26.540001,24.275055,46538400
6/6/16,26.620001,27.01,25.440001,25.540001,23.360395,53777600
6/13/16,25.309999,25.73,24.23,25.309999,23.150024,81635500
6/20/16,25.879999,27.290001,24.51,24.52,22.427448,111665500
6/27/16,24.049999,26.4,23.110001,25.92,23.70797,87586800
7/4/16,25.5,26.43,24.57,26.370001,24.119566,55052600
7/11/16,26.690001,28.280001,26.389999,28.01,25.619606,75598200
7/18/16,28.059999,29.139999,27.77,28.92,26.451946,97510600
7/25/16,28.82,29.370001,28.59,28.73,26.278154,61341500
8/1/16,28.84,29.18,27.790001,29.01,26.717068,61918300
8/8/16,29.02,29.49,28.860001,29.17,26.864424,46708000
8/15/16,29.370001,30.74,29.309999,30.549999,28.135345,66101200
8/22/16,30.440001,31.58,30.389999,31.16,28.697132,45507200
8/29/16,31.209999,32.369999,31.15,31.889999,29.369436,62749300
9/5/16,31.959999,32.27,31.549999,31.59,29.093149,54226400
9/12/16,31.32,32.32,31.139999,31.59,29.093149,64233900
9/19/16,31.719999,32.439999,31.5,31.91,29.387856,44315000
9/26/16,31.530001,32.32,30.620001,32.060001,29.525997,56195700
10/3/16,32.02,32.73,31.469999,32.310001,29.756239,53760700
10/10/16,32.619999,33,30.959999,32.07,29.535206,47807800
10/17/16,32.049999,33.52,31.610001,33.439999,30.796919,66289600
10/24/16,33.57,34.029999,33.060001,33.52,30.870602,49038400
10/31/16,33.709999,33.880001,32.560001,32.779999,30.369917,42646600
11/7/16,33.57,38.939999,33.540001,38.490002,35.660099,108441800
11/14/16,38.880001,40.669998,38.41,40.43,37.457466,91552100
11/21/16,40.439999,41.200001,39.970001,41.099998,38.078209,36331900
11/28/16,40.630001,42.540001,40.290001,41.830002,38.754536,58795400
12/5/16,42.299999,44.040001,41.810001,43.73,40.514843,67335100
12/12/16,43.5,43.91,42.119999,42.709999,39.569828,78666000
12/19/16,42.66,43.66,42.139999,43.060001,39.894104,43103500
12/26/16,43.27,43.290001,41.73,42.25,39.143654,24905200
1/2/17,43.09,44.130001,42.189999,43.849998,40.626019,35100300
1/9/17,43.490002,44.599998,42.68,43.810001,40.588966,50455500
1/16/17,43.779999,43.84,41.77,42.59,39.45866,63567000
1/23/17,42.200001,44.419998,41.779999,43.650002,40.440716,56734400
1/30/17,43.240002,44.599998,41.830002,44.43,41.351254,55931700
2/6/17,44.259998,45.150002,43.619999,44.700001,41.602535,55295400
2/13/17,45,46.75,44.939999,46.150002,42.952057,55392700
2/20/17,46.27,46.82,45.240002,45.529999,42.375027,38955500
2/27/17,45.52,47.169998,45.130001,46.830002,43.584946,55931400
3/6/17,46.529999,47.330002,45.98,46.490002,43.268505,49923100
3/13/17,46.68,46.75,44.93,45.02,41.900364,47631300
3/20/17,44.740002,44.959999,41.639999,42.459999,39.517761,74503300
3/27/17,40.66,43.709999,40.060001,42.84,39.871429,71587500
4/3/17,42.810001,43.099998,41.419998,41.950001,39.043102,51664500
4/10/17,41.900002,42.150002,40.5,40.689999,37.870411,39952700
4/17/17,40.779999,42.939999,40.580002,41.799999,38.903492,68449900
4/24/17,43.389999,44.860001,43.189999,43.369999,40.364697,61074500
5/1/17,43.759998,44.060001,42.869999,43.080002,40.276348,35518100
5/8/17,43.150002,43.34,42.360001,42.73,39.949123,32784500
5/15/17,42.82,43.639999,40.43,41.799999,39.079651,64715000
5/22/17,42.049999,42.970001,41.330002,42.84,40.051964,34506600
5/29/17,42.580002,42.939999,41.07,42.52,39.752781,39686500
6/5/17,42.549999,45.349998,42.209999,44.91,41.987247,45656900
6/12/17,44.91,45.98,44.220001,44.48,41.585232,48426400
6/19/17,44.880001,45.91,43.509998,43.689999,40.846645,46757600
6/26/17,43.959999,45.610001,43.48,44.560001,41.660023,54055400
7/3/17,45,46.639999,44.98,46.049999,43.053047,34188900
7/10/17,45.950001,46.240002,44.32,45.200001,42.258373,38435400
7/17/17,45.150002,47.189999,44.689999,46.59,43.557915,51995700
7/24/17,46.5,48.040001,46.459999,46.66,43.62336,45762000
7/31/17,46.939999,48.450001,46.599998,48.080002,45.190254,34500700
8/7/17,48.200001,48.900002,45.470001,45.650002,42.9063,47421900
8/14/17,46.209999,47.299999,44.869999,45.389999,42.66193,39860900
8/21/17,45.400002,46.419998,44.529999,45.939999,43.178867,33397500
8/28/17,46.16,46.52,44.34,46.189999,43.413837,35891200
9/4/17,45.66,45.720001,43.84,44.009998,41.364864,35327000
9/11/17,44.709999,46.759998,44.419998,46.599998,43.799198,39192300
9/18/17,46.82,48.490002,46.75,48.220001,45.321835,40164800
9/25/17,48.099998,48.380001,47.119999,48.169998,45.274841,35827100
10/2/17,48.110001,50.139999,48.110001,49.759998,46.769276,34552700
10/9/17,49.919998,50,47.700001,48.299999,45.397026,31741500
10/16/17,48.240002,50.91,48.240002,50.68,47.63398,54316400
10/23/17,50.880001,51.52,49.919998,51.16,48.085136,42738100
10/30/17,50.57,50.779999,49.5,50.02,47.013641,39965900
11/6/17,49.880001,50.59,48.259998,48.759998,46.054432,33729700
11/13/17,48.25,48.900002,47.419998,48.700001,45.997757,34230100
11/20/17,48.91,49.759998,48.66,49.060001,46.337784,17090400
11/27/17,48.98,52.580002,48.709999,51.950001,49.067425,45640100
12/4/17,53.110001,53.369999,51.259998,52.889999,49.955269,41555900
12/11/17,52.57,54.25,52.529999,53.099998,50.153606,45935400
12/18/17,53.869999,53.889999,52.25,52.720001,49.794701,40013100
12/25/17,52.540001,52.82,52.09,52.470001,49.558567,18641900
1/1/18,52.759998,53.529999,51.919998,53.110001,50.163055,28754900
1/8/18,52.93,55.139999,52.689999,55.119999,52.061527,41640900
1/15/18,55.650002,57.5,53.860001,57.459999,54.271683,52151800
1/22/18,56.470001,57.73,56.130001,57.599998,54.403912,52480100
1/29/18,57.490002,58.049999,55.389999,55.48,52.401546,39265900
2/5/18,54.639999,55.709999,50.02,52.139999,49.462116,72418900
2/12/18,52.799999,55.599998,52.619999,55.139999,52.308044,46126800
2/19/18,54.93,56.330002,54.610001,56.07,53.190285,28871100
2/26/18,56.310001,57.82,53.509998,54.740002,51.928589,53400600
3/5/18,54.32,58.790001,54.279999,58.669998,55.656738,43631300
3/12/18,58.610001,59.380001,56.799999,57.509998,54.55632,37332100
3/19/18,57.400002,58.169998,51.990002,52.07,49.395714,56828800
3/26/18,53.330002,54.900002,51.970001,53.959999,51.188644,42914600
4/2/18,53.830002,55.389999,51.939999,53.040001,50.315899,45885600
4/9/18,53.59,54.880001,52.610001,52.98,50.258984,50748300
4/16/18,53.439999,55.330002,52.77,54.459999,51.662968,63368800
4/23/18,54.549999,54.619999,51.669998,51.860001,49.196503,54342700
4/30/18,52.18,52.549999,49.889999,51.400002,48.994781,47445700
5/7/18,51.639999,55.540001,51.529999,55.200001,52.616962,39540700
5/14/18,55.349998,55.639999,53.869999,53.919998,51.396854,29136300
5/21/18,54.43,55.400002,52.720001,53.009998,50.529438,35151900
5/28/18,52.18,52.32,49.509998,51.209999,48.813663,63302000
6/4/18,51.57,52.720001,50.669998,51.91,49.480915,37496100
6/11/18,52.200001,52.439999,50.580002,51.16,48.766006,43871500
6/18/18,50.709999,50.939999,48.799999,48.889999,46.60223,50469600
6/25/18,48.650002,49.27,47.110001,47.400002,45.181953,66193400
7/2/18,46.959999,47.889999,46.279999,47.09,44.886456,31539500
7/9/18,47.290001,48.650002,47.290001,48.080002,45.830139,42263100
7/16/18,48.220001,51.5,48.200001,50.27,47.917652,58543200
7/23/18,50.27,51.529999,50.25,51.049999,48.661156,35243900
7/30/18,50.880001,51.310001,49.25,49.91,47.574497,42341800
8/6/18,49.889999,50.84,48.139999,48.389999,46.398289,38508300
8/13/18,48.34,48.610001,47.02,48.369999,46.379116,43756500
8/20/18,48.330002,48.939999,47.98,48.139999,46.158581,35802100
8/27/18,48.48,50.43,48.419998,48.830002,46.820183,47691500
9/3/18,48.860001,49.049999,47.68,48.220001,46.235291,29351900
9/10/18,48.369999,48.509998,47.259998,48.189999,46.20652,31504100
9/17/18,48.5,50.369999,47.549999,49.41,47.376308,59558500
9/24/18,49.369999,49.450001,46.400002,46.57,44.653206,51760400
10/1/18,46.919998,47.93,46.150002,46.75,44.82579,43945600
10/8/18,46.509998,47.220001,42.880001,43.43,41.642441,68994000
10/15/18,43.419998,47.84,43.07,46.419998,44.509377,88088700
10/22/18,46.43,46.720001,43.25,43.970001,42.160213,68165000
10/29/18,44.59,46.950001,43.290001,45.950001,44.05872,63737100
11/5/18,46.02,46.849998,45.290001,45.73,44.149136,52509400
11/12/18,45.52,46.75,43.049999,44.130001,42.60445,63745700
11/19/18,44.169998,44.790001,42.540001,43.080002,41.590744,38676600
11/26/18,43.720001,45.529999,43.669998,44.389999,42.855457,49765000
12/3/18,45.07,46.139999,40.950001,41.32,39.891582,66890200
12/10/18,41.09,41.880001,39.529999,39.639999,38.269665,77447000
12/17/18,39.290001,41.080002,37.490002,37.68,36.377419,98785600
12/24/18,37.610001,40,36.740002,39.369999,38.008999,55010700
12/31/18,39.669998,41.580002,38.759998,41.299999,39.87228,47572200
1/7/19,41.509998,42.41,40.959999,41.740002,40.29707,48186300
1/14/19,41.310001,45.110001,41.119999,43.689999,42.179657,122255300
1/21/19,42.419998,43.25,41.66,42.98,41.494202,62630600
1/28/19,42.439999,42.970001,41.790001,41.82,40.374302,57146400
2/4/19,41.900002,42.849998,40.119999,40.810001,39.679371,55170100
2/11/19,41,42.080002,40.189999,41.990002,40.826683,62691300
2/18/19,41.580002,42.52,41.43,41.790001,40.632217,39169000
2/25/19,42.130001,42.869999,41.630001,42.5,41.322552,52761700
